LOCATIONNAME,LOCATION_MEAN_UNITPRICE_log,DISTANCE_TO_CITY_CENTER_M,DISTANCE_TO_METRO_M,DISTANCE_TO_CASTELLANA_M,R2,R2_Cuartiles
12 de Octubre-Orcasur,7.435672827306834,5.214738334011425,0.47877302036764036,2.360633095284756,0.8053,Alto
Abrantes,7.53494230695961,4.6228532483804345,0.2766973208479155,3.148402226334192,0.814,Alto
Acacias,8.31283670851254,1.6553061958677424,0.3603376313877757,0.9446834687024876,0.6833,Medio
Adelfas,8.340178888971872,3.2718354536089564,0.25813088668370887,1.907253787989434,0.6532,Medio
Aeropuerto,7.538134132092769,11.237741095997647,1.0730534440215247,9.424219562319301,0.632,Medio
Alameda de Osuna,8.073726488223006,10.63502560173702,0.31227340766691486,8.484125804330953,0.6463,Medio
Almagro,8.721350999322079,2.135903359968592,0.25068666969259673,0.43014020115592055,0.6759,Medio
Almendrales,7.74911538396465,3.699912815922179,0.34577094568439576,0.9766554040699542,0.8153,Alto
Aluche,7.698015368009513,5.392691568947532,0.4296543913082324,5.348475308092774,0.7408,Medio
Ambroz,7.563526072546701,8.107694335523417,0.4971755853271089,7.028672970636862,0.6154,Medio
Amposta,7.47189804633568,7.057293321413285,0.352760195430735,5.727323594482114,0.5959,Medio
Apóstol Santiago,7.835348023832497,7.524948913165526,0.45057554741198746,2.146483726100771,0.6372,Medio
Arapiles,8.546366471260935,2.0119191744494307,0.335929463167074,1.5379735697589259,0.682,Medio
Aravaca,8.30587579823938,8.076214158742353,5.091789712747178,7.962276153104688,0.7755,Alto
Arcos,7.645657268330269,7.25812382378722,0.37876226601774565,6.042067010636742,0.7107,Medio
Argüelles,8.492782680154534,1.7087109667984124,0.33959864997868844,2.2674601292509875,0.7214,Medio
Arroyo del Fresno,8.296607754817796,8.133343767431295,0.3055091509167285,3.1529074416208687,0.6062,Medio
Atalaya,8.341276148220551,6.346060311030623,0.936700486070439,1.98685474508929,0.6933,Medio
Bellas Vistas,8.115074547550686,3.938210210384755,0.29382026974178244,1.3616320475603516,0.7096,Medio
Bernabéu-Hispanoamérica,8.52996359347688,4.840169118091725,0.312756136566403,0.8877489664417959,0.6913,Medio
Berruguete,8.033669924299849,4.77555433194691,0.4279275054091559,1.2576909909696345,0.6516,Medio
Buena Vista,7.550891445833664,6.672269485356148,0.3654815051435006,5.505860378457331,0.7411,Medio
Butarque,7.587331841454956,8.105537535552278,1.2614769326572035,5.154349442561192,0.7787,Alto
Campamento,7.6952749188737455,6.308554112209391,0.29840735097569443,6.6347174263069855,0.7112,Medio
Campo de las Naciones-Corralejos,8.282708938520974,10.910170000115288,0.8749871386347415,8.07459011494069,0.624,Medio
Canillas,8.098276147221972,7.338938281897553,0.38434189096312815,3.8586484286278018,0.7375,Medio
Canillejas,7.689949880450338,8.472824897607858,0.46136631684178403,6.749994979477161,0.6218,Medio
Casa de Campo,8.268907441032487,2.381105712051602,0.9841920895874222,3.1268047044745044,0.7525,Alto
Casco Histórico de Barajas,7.999035254536375,12.35476988018278,0.4469426197236093,9.009040662932993,0.7321,Medio
Casco Histórico de Vallecas,7.584987511109176,8.290979474384566,0.2727473392785553,6.447270303718567,0.7318,Medio
Casco Histórico de Vicálvaro,7.620384865585048,8.451371846383736,0.2277860359200873,7.3344190215348615,0.6348,Medio
Castellana,8.793539291715524,2.6501725738094244,0.30727014489905025,0.5050116083830061,0.6797,Medio
Castilla,8.350030910081223,6.4773888137136595,0.43028797496404236,0.5356588214305198,0.6545,Medio
Chopera,8.21474679583315,2.3564306318537636,0.5390812090766106,0.31631996912965904,0.6051,Medio
Chueca-Justicia,8.680892327333467,0.9413947882472097,0.17831627947542703,0.5439064538055166,0.6244,Medio
Ciudad Jardín,8.403041567873712,4.275115405085493,0.2538267308683889,1.5035505132516147,0.8086,Alto
Ciudad Universitaria,8.315838445669407,4.644303649592932,0.5313417323306335,2.4931445999141135,0.7349,Medio
Colina,8.353219484802366,5.877769204064834,0.3494209966853461,2.537230360153227,0.6356,Medio
Comillas,7.81249633882135,2.7246181733784063,0.5246285664029149,1.4763334687195664,0.7135,Medio
Concepción,8.0875168142271,4.977481689171326,0.39623848231136066,3.133825114324057,0.6994,Medio
Conde Orgaz-Piovera,8.517287385494756,7.594376693108516,0.7485698453744647,4.866245545162632,0.6567,Medio
Costillares,8.28136622021594,7.33427069485433,0.46937572072246186,1.5094466681391925,0.8026,Alto
Cuatro Caminos,8.37462121694789,3.92715312096953,0.343777259411478,0.6536674824300858,0.6881,Medio
Cuatro Vientos,7.77037217600281,7.566928472876812,1.5322020543186499,6.841706925287317,0.5881,Medio
Cuzco-Castillejos,8.350735064472941,4.915634185262676,0.2564780028537148,0.4413224416957568,0.7328,Medio
Delicias,8.257658947975617,2.387514178692375,0.4531457350745805,0.23206179484170686,0.6376,Medio
El Cañaveral - Los Berrocales,7.633136159097285,12.342603608061545,2.307408583623593,11.246103365758811,0.7296,Medio
El Pardo,7.888860591537901,12.745237290974217,4.86823221554289,8.623349924586941,0.6035,Medio
El Plantío,8.210921492715592,11.39122824213142,8.225983671074758,11.000761676682943,0.4901,Bajo
El Viso,8.680789720873557,3.6515210586024613,0.3124172038699848,0.557386531727986,0.6885,Medio
Ensanche de Vallecas - La Gavia,7.856215189228513,9.857319191270237,0.5352874246875654,7.893037104449563,0.7127,Medio
Entrevías,7.2695559939041825,5.1733393104887115,1.786186014862423,2.63823065586469,0.6646,Medio
Estrella,8.31940821674245,3.1853322759615312,0.3009225119058545,2.118737198546259,0.7191,Medio
Fontarrón,7.68141571417959,5.296184172277112,0.5905035739106014,4.08379350324572,0.6103,Medio
Fuente del Berro,8.368403032039103,3.44177587838894,0.28022657511180676,2.078208428237762,0.6352,Medio
Fuentelarreina,8.178880416399132,7.377172293028504,1.8079034504953901,4.5459513544459895,0.7098,Medio
Gaztambide,8.490358695180667,2.240650840203342,0.27353198843073223,2.009838286121943,0.6664,Medio
Goya,8.657749719553216,2.647745495135781,0.20263503716268655,1.2863605715203943,0.664,Medio
Guindalera,8.377880213737452,3.66224970669897,0.2712313262723667,1.731713091455739,0.7204,Medio
Hellín,7.481810200926146,7.576952381723532,0.42209959870238933,6.1124018062118655,0.542,Medio
Horcajo,8.123190680886864,6.418874861989079,0.8609667969447048,5.3213212070614,0.5632,Medio
Huertas-Cortes,8.587541552552652,0.6210482723605292,0.25385315940065595,0.34546331716221335,0.6425,Medio
Ibiza,8.600764784228495,2.454969772423004,0.29883173149161424,1.4748229701515012,0.6253,Medio
Imperial,8.286502609245263,1.5568153717953734,0.6139062337063472,2.082911016063754,0.6825,Medio
Jerónimos,8.650756629650816,1.654284573109623,0.43212704078609077,0.5469311618099816,0.7593,Alto
La Paz,8.173478578449773,7.406562952649213,0.5505232709256705,1.2625456758584803,0.5998,Medio
Las Tablas,8.355909686859501,10.391420975323477,0.6025540606886384,2.9248957081552853,0.6272,Medio
Lavapiés-Embajadores,8.387685573478388,0.8529760822436852,0.2003943129946826,0.7954203411345855,0.6505,Medio
Legazpi,8.367097333549564,3.283517843505012,0.46108525620405316,0.6008337214689157,0.6017,Medio
Lista,8.647736618995305,2.9455044263920667,0.16979941205042431,1.1167670715093783,0.654,Medio
Los Cármenes,7.702537401504715,3.258102374609798,0.5177370854603571,3.6378378543652823,0.6926,Medio
Los Rosales,7.47222906095044,7.131537245964305,0.5009772037418245,4.193378225372968,0.7441,Medio
Los Ángeles,7.481855584575865,6.806461170897848,0.5306125171651994,3.9454367637246204,0.7805,Alto
Lucero,7.705277809873324,4.073393928630214,0.32858704733916794,4.6401530276640335,0.7575,Alto
Malasaña-Universidad,8.528523303193525,0.9928632138504094,0.19665061912453824,1.195091977717335,0.6695,Medio
Marroquina,7.898474003543451,5.079954991781565,0.4643389299196342,4.007195224957421,0.4825,Bajo
Media Legua,7.7861685358606945,4.096422272695544,0.3684895956281209,3.0134043430773576,0.7046,Medio
